 5000    5100
  522    3048      80
  522    3249      38
  523    2177       2
  524    1462      14
  524    3796      52
  526    2123      88
  526    3647      22
  526    4206      53
  527     631      81
  528    4233      75
  529    4700      33
  530    4990      40
  531    3659      28
  532    1449      49
  532    3740      14
  532    4709      73
  533    2554      87
  534    2482      25
  535     561      71
  535    2636      10
  536    1254      94
  536    2096      61
  536    2200      11
  536    2267      18
  537    2110      92
  538     960      97
  539    3634      71
  540     926      77
  540    1256      92
  540    1270      37
  540    1488      13
  540    3416      91
  541    1725      95
  541    4298      66
  542     619      68
  543    4135      45
  544    1370      44
  545    1187      23
  546    3209      74
  547    2035      57
  547    2333      94
  548    3954      58
  548    4609      41
  549     978      14
  549    3589      10
  550    1186      89
  550    1205      34
  550    1694      21
  550    2944       3
  550    4481      55
  551     876      83
  551    4991      88
  552    3406      18
  553    2449      37
  553    3751      72
  554    3268      86
  554    3788      89
  555     837      24
  555    1973      17
  555    2108      96
  556    1077      40
  556    2977       6
  557    1668     100
  558    4459      87
  559    1339      99
  560    3006      57
  561     849       3
  561    1316      48
  561    1766      69
  561    2560      83
  561    3260      78
  561    4204      50
  561    4707      77
  562    1252      11
  563    2240      41
  563    3810      33
  564    4849      24
  565    3973      69
  566    2805      91
  566    4427      90
  567     926      91
  568    2171      68
  569     662      69
  569    1363      73
  569    4653      51
  569    4868      37
  570    3328      91
  570    4165      50
  572    3490      32
  573    1841      62
  574    4900      41
  577    1222      25
  577    3003      40
  577    3697       8
  578    4158      25
  579    2819      24
  579    2841       2
  579    3263       2
  580    3730       3
  581    1958      13
  581    2281      71
  582     936      97
  584    3650      16
  585    1144      24
  586    4444      30
  587    3726      90
  588    1585      39
  589    1540      88
  590    1782      79
  591    1183      41
  591    1355      45
  591    1416      94
  591    3946      93
  591    4690      32
  592     809      79
  592    1175      14
  592    1528      43
  592    3166      49
  592    4997      84
  593     977       7
  593    2154      12
  593    3945       9
  594    1763      48
  595    2341      66
  596    1200      69
  596    2080      17
  596    2717      70
  596    3447      58
  596    4310      73
  597     743       3
  597     950      49
  597    1583      73
  597    2058      42
  597    2314      21
  597    4268      74
  598     883      46
  598    1010      67
  598    1507      25
  599    1167      67
  600     773       3
  600    2851      72
  600    3020      13
  600    3279      35
  600    3939       7
  600    4185       7
  601    4836      64
  602    1985      16
  602    4944      34
  603    3609      67
  603    4317      26
  604    3319      27
  605    4730       2
  606    3687      56
  606    4407      61
  607    3501      54
  607    3642      28
  607    4876      72
  608    4181      61
  608    4471      12
  609    1124      33
  609    3905      33
  609    4237      11
  610     877      60
  610     888      20
  610    1814      40
  610    3044      68
  611    1304      13
  611    1622      85
  611    3329      17
  612    1393      47
  612    2687      24
  612    2926      33
  612    3209      90
  612    3507      59
  612    3528      77
  612    3890      72
  613    1141      88
  613    1334      91
  613    4304      71
  614    2025      13
  614    2668      74
  614    2847      56
  614    3011      88
  615    3422      18
  616    2758      22
  616    4048      37
  616    4486      29
  617    3355      18
  618    1922      57
  619    3704      72
  619    4116       9
  619    4334      48
  620    4105      89
  621    2488      61
  622    1954      62
  623    3188      28
  624    3597      15
  625    1917      69
  625    3369      95
  626    2534      87
  627    1887      70
  628    1910      74
  628    4338      99
  630     780      34
  630    1064      77
  630    2196      36
  630    2651      42
  630    3390      97
  631    1064      95
  631    3168      47
  632    2154      75
  632    2217      32
  632    2737      81
  633    3342      30
  633    3774      22
  634    3166      95
  635    3574      76
  636     724      79
  636     742       6
  636    1307      46
  636    3887      77
  637    1377      89
  638    1450      46
  638    2649      40
  638    2921      95
  638    3702      66
  638    4386      40
  639     816      73
  639    1259      54
  639    2752      35
  640    2001      27
  641    1403       6
  641    2622      69
  642    2602      83
  644    2676      42
  644    2917      49
  645    2460      19
  645    2967      29
  646    1172      61
  646    4140       1
  647    4892      80
  648    2931      83
  649    3571      85
  650    1185      33
  650    1277      10
  650    2411      21
  650    3359      31
  650    4251      46
  650    4699      41
  650    4816      25
  651    1517      32
  651    3050      14
  652    3324      29
  653     793      43
  654     810      32
  654     917      63
  655    1629      55
  655    1783      88
  655    2122      96
  655    3677       3
  655    3962      65
  656    1674      38
  656    4114       2
  657    3820      13
  657    4436      95
  658    1303      29
  659    2489      77
  660    2203      88
  660    2711      18
  660    3116      34
  660    3327      72
  660    3729      32
  663    1610      59
  664    3329      30
  665    1151      52
  666    2069      62
  666    4188      86
  666    4584      73
  667     746      25
  667    1079      95
  668    2488      36
  668    4272      11
  669    1766      26
  670    2844      52
  671     817      98
  671    1887      95
  671    3039      93
  671    3852      76
  671    4111      15
  672    1961      51
  672    3391      52
  673    3821      41
  674    3507      62
  674    4792      67
  675    3282       9
  676    2519      10
  676    3256      44
  677    2301      73
  677    4596      18
  677    4637      84
  678    1840      97
  678    4004      67
  679    4191      27
  680    2384      90
  680    4128       2
  680    4314      87
  682    2568      93
  682    3394       6
  682    3605      50
  683    4283       6
  684    2480      23
  684    3550      69
  685    1222      84
  686    2197      75
  686    4730      36
  687    2674      22
  688    1560      34
  690    3483      60
  691     936      65
  691    3547      17
  691    4207      23
  691    4542      88
  692    1309      92
  693    2426      77
  693    3136      62
  694    1444       9
  694    2146      68
  694    2515       9
  695    1349      18
  695    2230      66
  695    4426      27
  696    2750      67
  697    2234      84
  697    3316      70
  697    4697      91
  698     903      62
  699    2912      75
  700    4090      49
  701    2081      76
  701    4751      80
  702    2386      26
  703    3918      88
  704    2652      71
  704    3408      58
  705    2282      55
  706    3039      17
  707     860      37
  707    3760      76
  708     755      30
  708     846      31
  708    1395      43
  708    3156      20
  709    3071      31
  709    3454      96
  710    3526      17
  711    1992      64
  712    1734      69
  713    2006      85
  713    4688       4
  714    4566      55
  715    1841      13
  716    1729      52
  717    1161      96
  717    2489      62
  717    4133      13
  718    1788      55
  719    2927      20
  720    2322      44
  720    2879      97
  720    4354      86
  721     992      40
  721    2998      42
  722    4849       8
  723    3230       7
  725    1310      31
  726    3141      47
  728    4855      78
  729    1664      45
  729    4812      41
  730    3134      15
  730    3705      73
  731    1875      73
  731    1957       1
  732    2359       3
  733     983       7
  733    2387      67
  733    2896      79
  734    1399      98
  734    1753      26
  735    4601       7
  736    2077      42
  737    4743       4
  738    2825      46
  739    1748      49
  739    2117      88
  739    2973      36
  740    3651      92
  740    3778      14
  740    4330      21
  741    2325       9
  742    3641      86
  743    3247      41
  743    3588      38
  744    1289      13
  745    1686       4
  745    3603      16
  746    3188      42
  746    3619      66
  747    1654      86
  747    4768       5
  748    1832      57
  749    1675      76
  749    2488      34
  749    2809      75
  750     957      12
  750    1018      44
  751    3031      97
  752    1243      53
  753    1317      31
  753    1993      17
  754    1440      34
  755    1964      99
  755    2310       9
  755    3502       9
  756    4962       9
  757    3209      88
  758    1375      68
  758    1486      76
  758    3372      94
  759    1328      70
  759    1832      13
  759    2911      26
  759    3201      90
  759    4060      54
  759    4287      21
  760    1315      43
  760    2323     100
  761    3493      96
  762    3214      99
  763     917      93
  763    1697      44
  763    4229      28
  764    3824      23
  765    3591      46
  766    3161      35
  767    1044      54
  769    1765      13
  769    2390      95
  769    2647      96
  769    3554      74
  769    3771      54
  770    3321      28
  771    2416      92
  771    4929      22
  772    1557      65
  773    2172      31
  773    2275      67
  773    2607      85
  773    3788      39
  774    2528      38
  775    1006      82
  776    2335      66
  777    1714      30
  778    4756      72
  779    1611      93
  779    1764      75
  779    3695      28
  779    4790      99
  780    3216      11
  781    3995      34
  783    2634      20
  784    4149      85
  785    2391      64
  785    2505      42
  785    2704      72
  786    3116      16
  788    4717      18
  788    4826      25
  790    3840      77
  791    3840      71
  793    4335      50
  793    4827      14
  795    2991      30
  796    2148      93
  796    4265      41
  796    4830      12
  797    1769      17
  798    3245      16
  799    1014      84
  799    1033      86
  799    2556      81
  799    2612      89
  799    3402      18
  799    3537      94
  799    3713      17
  799    3855       1
  799    4951      25
  800    1089       1
  800    1457      44
  801    3762       8
  801    4701      42
  801    4976      41
  802    1515      66
  802    2396      74
  802    4928      42
  803    2089      56
  803    2903      11
  803    3322      85
  804    2709      72
  804    4123     100
  805    3690      42
  806    3154      31
  807    1881      97
  807    2274     100
  807    3727      66
  808    1026      15
  808    4484      17
  809    2630      75
  809    3570      94
  811    3008      86
  811    4650      98
  812    2628      57
  812    4490      90
  812    4708      83
  813    4509      38
  814    1545      13
  815    1018      26
  815    3215      92
  817    1319      44
  818    1051      68
  818    2127      10
  819    1462      47
  820    2559      18
  821    1066      59
  821    3602      97
  821    3910      72
  821    4070      67
  821    4462       4
  821    4830      94
  821    4967      21
  822    2597      45
  822    3032      97
  822    4342       6
  822    4713      42
  823    2061       1
  823    4673      73
  824    2377      15
  824    3456      97
  824    3793      66
  825    2084      43
  826    1443      44
  827    3062      94
  828    1027      17
  828    1488      54
  829    1170      67
  830    1897      81
  830    3506      84
  831    1283      50
  832    2197      14
  833    2293      11
  833    2852       1
  833    3212      52
  835    2947      12
  836    1150      57
  837    4924      47
  838     991      86
  838    2241      51
  839    1166      76
  839    1783      71
  840    1508      39
  840    4179      23
  841     879      91
  841    2760      70
  842    3062      82
  843    1975      25
  843    4276      88
  845    1550      36
  845    4758      50
  846    2766      81
  846    3001      65
  846    3310      71
  847    2510      26
  847    4878      76
  849     922      33
  850    3878      84
  851    1763      77
  852    3485      13
  853    3251      12
  854    2592      43
  855    4656      72
  855    4768      28
  856    4114      53
  857    2143       3
  858    3570      96
  859    2009      93
  859    4515      81
  860    2656      43
  860    4743      89
  861     974      38
  862    1229      31
  863    2477      29
  864    4750      24
  865    3720      86
  866    2482      98
  868    2384      15
  869    4235      64
  870    1603      98
  871    1845      54
  871    2957       9
  872    2778      74
  873    3220       9
  874    3182      14
  875    2164      43
  875    2953      95
  875    3893       1
  878    3331      24
  880    1122       1
  880    2414      11
  880    3889      82
  880    4053      24
  880    4101      69
  880    4450      86
  881    1386      25
  882    1993      74
  883     943      62
  883    1154      62
  883    1689      63
  883    3097      29
  885    2902      67
  885    4938      57
  886    3238      33
  887    1135      45
  889    3672      69
  890    3580      90
  890    3828      76
  890    4794      40
  891    1036      68
  892    2290      53
  892    3689       1
  892    4958      45
  893    3659       9
  896    4808      17
  897    3812      72
  898    2129       9
  898    3401      60
  899    3009      91
  900     975      19
  901    2068      88
  901    3495      35
  901    4035      64
  901    4572      91
  902    1891      46
  903    1565      61
  903    1915      70
  903    1997      74
  903    2593      48
  903    2643      70
  903    2802      85
  903    3082       6
  904    2023      62
  905    4480      22
  906    1148      11
  907    2481      93
  908    3204      99
  909    1292      55
  909    2827      23
  910    1276      91
  910    3105      14
  911    3601      30
  912    2220      40
  912    2935      32
  912    3978      90
  913    3542      73
  915    3413      34
  915    3684      96
  915    4506       8
  916    1248      62
  917    2281      90
  917    3137      49
  917    4033      79
  917    4216       6
  917    4473      93
  917    4652      47
  918    3925      56
  918    4100      97
  919    3035      48
  920    3783      92
  921    1983      95
  921    3609      42
  922    2408      33
  922    2971      99
  923    1682      28
  924    3418      91
  925    2735      34
  926    2454      27
  926    2710      20
  926    3801       2
  926    4122      89
  927    2042      70
  927    4306      60
  928    1095      72
  928    2429      61
  930    3375      93
  931    1404      95
  933    2414      24
  934    1061      93
  935    2090      10
  937    2831      11
  937    4256      57
  938     949      67
  938    1291      79
  938    1672      29
  939    4118      15
  939    4252      13
  940    3317      95
  941    3019      80
  941    4340      64
  942    1374      10
  942    3175     100
  943    2363      21
  943    2420       3
  944    3801      40
  945    2288      29
  945    3033      92
  946    1098      43
  946    2310      27
  947    2076      36
  947    2387      16
  947    2604     100
  947    3958      75
  947    4809      39
  948    1859      73
  950    4799      61
  951     992      74
  951    1132      22
  952    4246      97
  953    2113      92
  954    4264       2
  955    4086      57
  956    4904      80
  958    3781      60
  959    1655      41
  959    2043      52
  959    2655      67
  960    3048      95
  961    4634      96
  962    3085      51
  963    4159      41
  965    1659      48
  966    1012      26
  966    1246      35
  966    1315      60
  966    4601      70
  967    1062      71
  968    4958      51
  969    3147      41
  970    1044      48
  972    2220      21
  973    4517      36
  974    2854      85
